[L]# 11:35:22-718  ThreadID:5 >> New Client Connect:True
[L]# 11:35:23-646  ThreadID:3 >> 处理登录消息,用户名lululu
[L]# 11:35:23-665  ThreadID:3 >> MoveCross:0,0
[W]# 11:35:26-911  ThreadID:3 >> 2000is not exist...
[W]# 11:35:26-912  ThreadID:3 >> 2001is not exist...
[W]# 11:35:26-912  ThreadID:3 >> 2002is not exist...
[W]# 11:35:26-912  ThreadID:3 >> 2003is not exist...
[W]# 11:35:26-913  ThreadID:3 >> 2004is not exist...
[W]# 11:35:26-913  ThreadID:3 >> 2005is not exist...
[W]# 11:35:26-913  ThreadID:3 >> 2006is not exist...
[W]# 11:35:26-914  ThreadID:3 >> 2007is not exist...
[W]# 11:35:26-914  ThreadID:3 >> 2008is not exist...
[W]# 11:35:26-915  ThreadID:3 >> 2009is not exist...
[W]# 11:35:26-916  ThreadID:3 >> 2010is not exist...
[W]# 11:35:26-916  ThreadID:3 >> 2011is not exist...
[W]# 11:35:26-916  ThreadID:3 >> 2012is not exist...
[W]# 11:35:26-916  ThreadID:3 >> 2013is not exist...
[W]# 11:35:26-916  ThreadID:3 >> 2014is not exist...
[W]# 11:35:26-917  ThreadID:3 >> 2015is not exist...
[W]# 11:35:26-917  ThreadID:3 >> 2016is not exist...
[W]# 11:35:26-917  ThreadID:3 >> 2017is not exist...
[W]# 11:35:26-917  ThreadID:3 >> 2018is not exist...
[W]# 11:35:26-917  ThreadID:3 >> 2019is not exist...
[W]# 11:35:26-918  ThreadID:3 >> 2020is not exist...
[W]# 11:35:26-918  ThreadID:3 >> 2021is not exist...
[W]# 11:35:26-918  ThreadID:3 >> 2022is not exist...
[W]# 11:35:26-918  ThreadID:3 >> 2023is not exist...
[W]# 11:35:26-918  ThreadID:3 >> 2024is not exist...
[W]# 11:35:26-919  ThreadID:3 >> 2025is not exist...
[W]# 11:35:26-920  ThreadID:3 >> 2026is not exist...
[W]# 11:35:26-921  ThreadID:3 >> 2027is not exist...
[W]# 11:35:26-921  ThreadID:3 >> 2028is not exist...
[W]# 11:35:26-922  ThreadID:3 >> 2029is not exist...
[W]# 11:35:26-922  ThreadID:3 >> 2030is not exist...
[W]# 11:35:26-923  ThreadID:3 >> 2031is not exist...
[W]# 11:35:26-924  ThreadID:3 >> 2032is not exist...
[W]# 11:35:26-930  ThreadID:3 >> 2033is not exist...
[W]# 11:35:26-931  ThreadID:3 >> 2034is not exist...
[W]# 11:35:26-931  ThreadID:3 >> 2035is not exist...
[W]# 11:35:26-932  ThreadID:3 >> 2036is not exist...
[W]# 11:35:26-933  ThreadID:3 >> 2037is not exist...
[W]# 11:35:26-933  ThreadID:3 >> 2038is not exist...
